method,metric,mean,std,ci95_low,ci95_high,n_folds
global_only,slice_accuracy,0.32467393449937343,0.056706809163862094,0.2959763295716353,0.3533715394271116,15
global_only,slice_balanced_accuracy,0.3418161862407684,0.024606246225809113,0.32936370754632405,0.3542686649352128,15
global_only,slice_macro_precision,0.32279789158896155,0.04128324031327651,0.3019056894334172,0.3436900937445059,15
global_only,slice_macro_recall,0.3418161862407684,0.024606246225809113,0.32936370754632405,0.3542686649352128,15
global_only,slice_macro_f1,0.2975083836378136,0.05486406554595612,0.2697433356482902,0.3252734316273371,15
global_only,slice_weighted_f1,0.3030556887209132,0.0792266019365366,0.2629614962303433,0.3431498812114831,15
global_only,slice_mcc,0.0034154665933224565,0.033006226571443094,-0.013287988675437658,0.02011892186208257,15
global_only,slice_macro_auroc,0.5068067292031813,0.02572036438939966,0.4937904289258799,0.5198230294804826,15
global_only,slice_macro_auprc,0.3445961107683033,0.01994393469333242,0.33450308725008704,0.3546891342865196,15
global_only,slice_class_1_sensitivity,0.4154173859818273,0.1551695038104675,0.3368907825131253,0.4939439894505293,15
global_only,slice_class_1_specificity,0.6219783843905249,0.16675219549845213,0.5375901301789452,0.7063666386021046,15
global_only,slice_class_2_sensitivity,0.2972868401633548,0.1843503227778445,0.20399270477844517,0.3905809755482645,15
global_only,slice_class_2_specificity,0.6855784295697854,0.18338510082447473,0.5927727638888463,0.7783840952507246,15
global_only,slice_class_3_sensitivity,0.3127443325771232,0.1916593986903771,0.215751294432254,0.4097373707219924,15
global_only,slice_class_3_specificity,0.6919410993584548,0.2061115968608079,0.5876342398304437,0.7962479588864659,15
global_only,slice_class_1_precision,0.24925280680222633,0.06547395665987335,0.21611841308503757,0.2823872005194151,15
global_only,slice_class_1_recall,0.4154173859818273,0.1551695038104675,0.3368907825131253,0.4939439894505293,15
global_only,slice_class_1_f1,0.30747044850669863,0.08089236518421804,0.2665332635027081,0.34840763351068915,15
global_only,slice_class_1_support,141.6,48.59276842141373,117.00866624194612,166.19133375805387,15
global_only,slice_class_2_precision,0.4025909607186924,0.15256838033039968,0.32538070735150204,0.4798012140858827,15
